,structures,Etot (eV/atom),Etot (eV),Emix (eV/atom),Eform (eV/atom),Ms (emu/g),Ms (mub/atom),mb (mub/cell),rmsd (\AA),V0 (A3/atom),phase
0,NiFe3_sqsfcc,-7.53137375,-120.50198,-0.10195,0.0136,207.968,2.105,33.686,0.4047,11.57,fcc
1,NiFe_sqsfcc,-6.86894625,-109.90314,-0.09319,-0.01616,156.146,1.601,25.61,0.0476,11.33,fcc
2,Ni3Fe_sqsfcc,-6.19720531,-99.155285,-0.07512,-0.0366,108.959,1.131,18.093,0.0251,11.09,fcc
3,NiCo3_sqsfcc,-6.63636313,-106.18181,-0.00591,0.00768,131.868,1.39,22.234,0.0007,10.84,fcc
4,NiCo_sqsfcc,-6.25139938,-100.02239,-0.00829,0.00077,108.656,1.144,18.302,0.0129,10.85,fcc
5,Ni3Co_sqsfcc,-5.86477631,-93.836421,-0.00901,-0.00448,84.752,0.891,14.261,0.0141,10.85,fcc
6,NiMn3_sqsfcc,-8.028105,-128.44968,0.0236,0.07782,16.546,0.165,2.648,0.0593,11.03,fcc
7,NiMn_sqsfcc,-7.25307,-116.04912,-0.06246,-0.02631,8.058,0.082,1.311,0.0846,11.57,fcc
8,Ni3Mn_sqsfcc,-6.36271438,-101.80343,-0.0332,-0.01513,123.896,1.281,20.493,0.0765,11.45,fcc
9,NiCr3_sqsfcc,-8.38084813,-134.09357,-0.17558,0.11749,4.763,0.046,0.732,0.3989,11.41,fcc
10,NiCr_sqsfcc,-7.412865,-118.60584,-0.11988,0.0755,0.055,0.001,0.009,0.203,11.16,fcc
11,Ni3Cr_sqsfcc,-6.44433125,-103.1093,-0.06363,0.03406,27.022,0.276,4.413,0.0303,11.02,fcc
12,FeCo3_sqsfcc,-7.31454438,-117.03271,-0.03042,0.02169,178.798,1.861,29.782,0.0462,11.1,fcc
13,FeCo_sqsfcc,-7.65301813,-122.44829,-0.10257,-0.01648,211.694,2.175,34.794,0.4178,11.38,fcc
14,Fe3Co_sqsfcc,-7.96865813,-127.49853,-0.15189,-0.03181,230.006,2.331,37.295,0.4032,11.5,fcc
15,FeCr3_sqsfcc,-9.1110425,-145.77668,-0.2521,0.07948,48.345,0.458,7.332,0.4124,11.38,fcc
16,FeCr_sqsfcc,-8.8051075,-140.88172,-0.20479,0.06763,98.505,0.977,15.627,0.4098,11.38,fcc
17,Fe3Cr_sqsfcc,-8.4209025,-134.73444,-0.0792,0.13405,67.633,0.664,10.631,0.0396,10.84,fcc
18,FeMn3_sqsfcc,-8.71146,-139.38336,-0.00609,0.08665,16.637,0.164,2.628,0.0378,10.83,fcc
19,FeMn_sqsfcc,-8.51533313,-136.24533,-0.01739,0.0958,46.791,0.464,7.423,0.0468,10.77,fcc
