MP_id,Formula,Ref_index (1),Ref_index (2),Ref_index (3),GGA direct band gap (eV),Effective_frequency (eV),Average_optical_gap (eV),effective_mass_valence,effective_mass_conduction,effective_mass_transition
mp-755116,In2Pt2O7,2.79172045162119,2.79162469540588,2.79149483073138,2.0492,15.7102935840049,8.29522542520079,3.18685203983096,0.42076253652914,2.69042672333991
mp-755478,CdBiO3,2.65872962145458,2.85712262249978,2.8947540310016,1.0028,12.580004592547,6.62079415293358,3.68699481091592,3.76968758222653,0.536497570921852
mp-17998,Ca(RhO2)2,3.21323892513458,3.04910250893603,3.16974755777175,0.8223,9.71559524678098,4.69084985191359,12.9730277815328,1.12349005523883,0.967166542756159
mp-754065,Hg(SbO3)2,2.29246930186644,2.29245378361266,2.25207332695896,0.9782,13.9788688575841,8.6683192609851,1.5518524582779,0.182851932851319,6.11329697756638
mp-553961,ScNbO4,2.37798235695726,2.41289376475633,2.27000052643166,3.3047,12.3312248736942,7.4473514082474,3.61182593445489,2.37757670415929,0.697464585382035
mp-22313,Na2PtO2,2.36938928418274,1.9607490252452,1.98684475991457,2.0074,10.4781085206662,6.94529784384281,7.64490944460577,1.40420385264961,0.842953309349583
mp-14495,Li6ZnO4,1.75451378734965,1.79741616772522,1.79741616772522,3.5116,14.4645832375417,11.1563022415375,3.34355213295828,0.590315158849274,1.99309348774502
mp-31213,Sr4Ti3O10,2.40542068669911,2.40538275332638,2.35405359752067,2.0976,12.4036257289438,7.40279458427587,4.88791670963217,151.140942743191,0.211202478383203
mp-15994,Hg(PO3)2,1.73854015484256,1.76698070447869,1.76829357291147,2.5782,13.8867654497788,10.8607963855959,6.24375122509266,0.640175824849116,1.72223098674604
mp-4280,GaCuO2,2.5138416756033,2.52468910759325,2.25991035441674,1.716,17.2522840428364,10.1445614672587,2.55506050945205,0.435761881831435,2.68621145027319
mp-9595,NbInO4,2.32178840767198,2.38691451040878,2.26677304113138,3.08,14.664084695021,8.94461277693623,3.2832010448678,1.52598820169714,0.959893861079316
mp-5132,YPO4,1.79381473402356,1.84358848173881,1.80843326390553,5.8806,15.5933772455445,11.8212751654173,4.54197518238005,1.85987558578979,0.757838903205363
mp-8065,K2Ti6O13,2.32401621121712,2.14859984873871,2.40224190080849,2.8418,10.8738407855101,6.71225207747961,41.8299154642161,10.5345370763103,0.118832196457438
mp-5338,ZnSeO3,1.9624316472173,1.79331149274185,1.99265691477484,3.9247,13.9609965070151,10.0614612872551,4.93497879466458,1.19403497701439,1.04013152031471
mp-755998,Zr3N2O3,2.58983164896871,2.30715033537045,2.4203489831014,2.7603,12.7605839568273,7.48785025452046,1.6834311027481,2.19999237205594,1.04857193504731
